Degree,Field_of_Study,University_GPA,Certifications,Internships_Completed,Job_Role
B.Sc,Information Technology,9.03,Java,0,Software Developer
M.Sc,Chemistry (M.Sc),8.04,Scrum Master,3,Data Engineer
B.Des,Animation & Multimedia,8.16,AWS,2,Product Designer
B.Des,Graphic Design,8.33,CPA,1,Product Designer
B.Tech,Aeronautical Engineering,7.65,React,2,Automotive Design Engineer
B.A,English,7.99,Six Sigma,2,Policy Analyst
B.Com,Banking & Insurance,8.28,AutoCAD,2,Financial Auditor
MBA,Retail Management (Advanced),8.95,CPA,1,Hospital Administrator
B.Tech,Environmental Engineering,9.66,None,3,Robotics Engineer
B.Tech,Metallurgical Engineering,6.38,Six Sigma,1,Site Supervisor
M.Sc,Mathematics (M.Sc),8.05,React,0,Data Engineer
B.Sc,Computer Science,7.08,None,0,Data Analyst
B.Sc,Nursing,8.52,None,2,Microbiologist
B.Des,Fashion Design,9.56,Python,0,UI/UX Designer
B.Tech,Metallurgical Engineering,6.14,CPA,1,Site Supervisor
M.Tech,Biotechnology (Masters),8.5,Scrum Master,1,Senior Data Scientist
B.Tech,Mining Engineering,7.77,Scrum Master,0,Process Engineer
M.Tech,Robotics,9.54,AWS,0,R&D Engineer
B.Tech,Environmental Engineering,8.21,Python,3,Biomedical Engineer
BBA,Travel & Tourism,8.63,AutoCAD,3,Retail Store Manager
M.Tech,Transportation Engineering,7.15,AutoCAD,1,VLSI Architect
M.Sc,Electronics (M.Sc),6.04,None,0,Statistician
B.Sc,Forensic Science,7.52,AutoCAD,0,Data Analyst
B.Sc,Nursing,6.25,React,3,Registered Nurse
B.Des,Interior Design,6.34,AWS,1,Interior Architect
B.Sc,Artificial Intelligence,6.79,None,2,Forensic Expert
B.A,Economics,6.14,CPA,3,Social Worker
B.Tech,Electrical Engineering,7.02,CPA,3,Control Systems Engineer
BBA,Banking & Insurance,7.22,CPA,2,Aviation Operations Manager
B.Sc,Chemistry,6.5,None,1,Forensic Expert
MBA,Operations Management (Advanced),6.28,AutoCAD,1,Business Development Manager
B.A,Sociology,7.83,Scrum Master,3,Policy Analyst
BBA,Aviation Management,7.71,Scrum Master,3,Aviation Operations Manager
M.Tech,Machine Learning,6.84,AWS,3,Robotics System Architect
MBA,Banking & Financial Services,9.88,Six Sigma,0,Supply Chain Manager
B.Sc,Artificial Intelligence,8.92,AWS,3,Lab Technician
B.Tech,Electronics & Communication Engineering,9.46,Six Sigma,3,VLSI Design Engineer
BBA,Logistics & Supply Chain,8.66,AutoCAD,2,Marketing Executive
B.Com,Financial Markets,8.55,React,1,Financial Auditor
M.Sc,Mathematics (M.Sc),8.07,CPA,0,Data Engineer
B.Com,Computer Applications,8.27,Scrum Master,0,Financial Auditor
B.Tech,Information Technology,8.42,React,3,Data Scientist
B.Sc,Physics,8.54,AutoCAD,1,Lab Technician
B.Tech,Metallurgical Engineering,9.83,React,0,Project Manager
M.Sc,Electronics (M.Sc),6.61,Six Sigma,3,Statistician
MBA,Agri-Business Management,7.37,None,0,Portfolio Manager
BBA,Retail Management,7.84,Java,3,Aviation Operations Manager
M.Tech,Information Technology (Masters),6.98,Python,1,Robotics System Architect
B.Tech,Marine Engineering,8.77,Python,1,Biomedical Engineer
M.Tech,Cybersecurity (Masters),7.21,Python,0,VLSI Architect
B.Sc,Mathematics,6.04,Python,2,Forensic Expert
BBA,Retail Management,8.87,Six Sigma,2,Retail Store Manager
B.Tech,Biotechnology,6.65,Python,1,Food Safety Officer
B.A,Performing Arts,8.12,React,1,Public Relations Officer
B.Tech,Electrical & Electronics Engineering,6.83,AutoCAD,0,Maintenance Engineer
M.Sc,Chemistry (M.Sc),6.36,Java,2,Statistician
MBA,Logistics & Supply Chain (Advanced),6.44,React,2,Agri-Business Manager
BBA,Digital Marketing,9.39,AWS,0,Business Analyst
B.Tech,AI & Machine Learning,7.45,None,3,Full Stack Developer
M.Tech,Artificial Intelligence (Masters),8.5,AWS,1,Senior Data Scientist
B.Sc,Fashion Design,6.99,AutoCAD,3,Registered Nurse
B.Tech,Environmental Engineering,9.63,Six Sigma,3,Robotics Engineer
BBA,Business Analytics,7.83,None,3,HR Generalist
B.Sc,Environmental Science,7.77,Java,3,Dietician
MBA,IT Management,8.62,Scrum Master,0,Product Manager
B.Sc,Information Technology,9.72,None,1,Software Developer
B.Com,Auditing,7.7,AutoCAD,0,Tax Consultant
B.A,Economics,7.19,None,1,Policy Analyst
B.Com,Financial Markets,8.98,React,0,Financial Auditor
B.Tech,Aeronautical Engineering,7.59,Java,0,Automotive Design Engineer
MBA,Marketing (Advanced),6.08,React,3,Business Development Manager
M.Tech,Computer Science Engineering (Masters),7.33,AWS,2,VLSI Architect
BBA,Aviation Management,9.64,AWS,1,Hotel Manager
B.Sc,Mathematics,9.22,Scrum Master,1,Software Developer
B.Tech,Mechanical Engineering,9.1,CPA,0,Project Manager
MBA,Logistics & Supply Chain (Advanced),8.27,Java,1,Hospital Administrator
B.Des,Textile Design,6.46,Six Sigma,0,Interior Architect
B.Des,Game Design,7.77,AutoCAD,1,Fashion Stylist
MBA,Logistics & Supply Chain (Advanced),9.24,CPA,1,Supply Chain Manager
B.Sc,Agriculture,7.33,AWS,1,Dietician
MBA,Retail Management (Advanced),7.36,Python,2,Portfolio Manager
BBA,Business Analytics,6.89,CPA,1,Sales Manager
B.A,Sanskrit,9.27,CPA,2,Content Writer
B.Sc,Physics,9.37,Java,2,Software Developer
M.Tech,Data Science (Masters),9.41,Scrum Master,1,R&D Engineer
B.Des,Fashion Design,6.73,None,0,Interior Architect
BBA,Healthcare Management,6.09,Python,0,Relationship Manager
MBA,International Business (Advanced),6.3,AutoCAD,2,Business Development Manager
B.A,Economics,7.01,AWS,3,Policy Analyst
B.A,Journalism & Mass Communication,6.07,CPA,0,Media Planner
M.Tech,Mechanical Design,7.09,AWS,3,VLSI Architect
,Biotechnology (M.Sc),7.5,Google Analytics,1,Clinical Psychologist
B.Com,Accounting & Finance,6.04,Scrum Master,2,Bank Officer
B.A,English,7.34,Python,3,Policy Analyst
M.Sc,Electronics (M.Sc),9.77,Java,1,Senior Researcher
BBA,Human Resource Management,8.06,React,0,Marketing Executive
B.Tech,Automobile Engineering,6.46,AutoCAD,1,Food Safety Officer
BBA,Aviation Management,6.65,Scrum Master,3,Relationship Manager
M.Tech,Robotics,6.86,AWS,0,Robotics System Architect
M.Tech,Machine Learning,7.09,Java,2,VLSI Architect
B.A,Sociology,8.85,Scrum Master,1,Psychologist
B.Tech,Electrical & Electronics Engineering,9.46,Scrum Master,3,VLSI Design Engineer
B.Tech,Marine Engineering,7.78,Python,1,Automotive Design Engineer
MBA,Aviation Management (Advanced),6.21,Java,2,Agri-Business Manager
B.Tech,Data Science,7.27,Six Sigma,3,Full Stack Developer
,Information Technology,9.6,Python,2,AI Engineer
MBA,Human Resource (Advanced),9.66,Six Sigma,1,Investment Banker
BBA,International Business,9.44,AWS,1,Business Analyst
B.Sc,Nutrition & Dietetics,8.41,Scrum Master,3,Microbiologist
M.Tech,Biotechnology (Masters),9.08,Python,1,R&D Engineer
B.Sc,Artificial Intelligence,7.61,AutoCAD,1,Data Analyst
MBA,Entrepreneurship (Advanced),8.07,None,2,Product Manager
M.Tech,Cybersecurity (Masters),6.96,Java,0,Robotics System Architect
B.A,Tamil,7.82,React,3,Policy Analyst
BBA,Operations Management,9.73,Python,0,Business Analyst
B.A,Tamil,9.17,Java,1,Content Writer
B.Tech,Aerospace Engineering,8.02,AWS,0,Biomedical Engineer
B.A,Sociology,7.37,AWS,2,Policy Analyst
B.Des,Animation & Multimedia,7.46,Scrum Master,0,Fashion Stylist
BBA,Banking & Insurance,9.3,None,2,Hotel Manager
M.Tech,Environmental Engineering (Masters),8.92,AutoCAD,2,Senior Data Scientist
B.Tech,Biomedical Engineering,9.23,Six Sigma,2,Robotics Engineer
B.Tech,Mechatronics Engineering,9.25,None,1,Robotics Engineer
M.Tech,Structural Engineering,7.14,React,1,VLSI Architect
B.Des,Jewellery Design,9.15,Java,0,UI/UX Designer
B.Com,Financial Markets,8.86,None,2,Financial Auditor
BBA,Finance,7.14,Java,3,HR Generalist
BBA,Travel & Tourism,9.38,AWS,2,Hotel Manager
M.Tech,Embedded Systems,8.04,Java,3,Senior Data Scientist
M.Sc,Artificial Intelligence (M.Sc),7.39,AWS,0,Clinical Psychologist
M.Sc,Data Science (M.Sc),7.84,Java,3,Clinical Psychologist
B.Sc,Agriculture,6.09,Python,3,Registered Nurse
MBA,Healthcare Management (Advanced),6.31,React,2,Agri-Business Manager
B.Des,Textile Design,7.14,AWS,0,Fashion Stylist
BBA,Healthcare Management,9.0,Six Sigma,1,Hotel Manager
B.Sc,Nutrition & Dietetics,6.9,Java,0,Registered Nurse
B.Sc,Physics,9.35,Six Sigma,2,Software Developer
BBA,Digital Marketing,6.21,Python,1,Sales Manager
B.Sc,Information Technology,7.86,AutoCAD,3,Data Analyst
B.A,Geography,9.26,Java,1,Content Writer
M.Sc,Physics (M.Sc),8.41,React,0,Data Engineer
,Fashion Design,8.8,Scrum Master,2,Clinical Research Associate
BBA,Marketing,8.56,Python,1,Marketing Executive
M.Sc,Agriculture (M.Sc),8.63,AutoCAD,3,Data Engineer
B.Sc,Psychology,8.06,Scrum Master,0,Microbiologist
B.Tech,Biotechnology,9.41,Scrum Master,2,Robotics Engineer
M.Tech,Manufacturing Engineering,8.01,CPA,0,Senior Data Scientist
BBA,Retail Management,8.83,React,1,Retail Store Manager
MBA,Digital Marketing (Advanced),6.52,Six Sigma,1,Business Development Manager
B.Sc,Nutrition & Dietetics,7.25,AutoCAD,1,Dietician
B.A,Sanskrit,6.74,AWS,0,Social Worker
B.Tech,Production Engineering,6.58,React,3,Site Supervisor
B.Com,Corporate Secretaryship,8.46,AWS,1,Financial Auditor
B.Des,Animation & Multimedia,6.58,AutoCAD,1,Interior Architect
MBA,Retail Management (Advanced),8.91,AutoCAD,3,Hospital Administrator
B.Tech,Aeronautical Engineering,8.15,React,3,Biomedical Engineer
MBA,Finance (Advanced),8.3,React,0,Product Manager
BBA,Hospitality Management,7.23,Python,1,Aviation Operations Manager
B.Sc,Artificial Intelligence,9.19,Scrum Master,3,Software Developer
B.Tech,Marine Engineering,8.11,React,2,Biomedical Engineer
B.Tech,Petroleum Engineering,6.58,CPA,3,Food Safety Officer
B.Sc,Computer Science,7.01,Scrum Master,3,Data Analyst
B.Des,Industrial Design,9.4,AWS,1,UI/UX Designer
M.Sc,Artificial Intelligence (M.Sc),8.59,Java,3,Data Engineer
BBA,Aviation Management,6.47,AWS,0,Relationship Manager
B.Com,Economics,9.14,Six Sigma,1,Chartered Accountant
B.Sc,Computer Science,9.87,CPA,1,Software Developer
M.Sc,Information Technology (M.Sc),9.34,Java,0,Senior Researcher
B.Tech,Aerospace Engineering,8.08,None,0,Biomedical Engineer
M.Tech,Cybersecurity (Masters),9.32,React,0,R&D Engineer
B.A,Economics,6.05,AutoCAD,1,Social Worker
M.Sc,Computer Science (M.Sc),6.44,Java,0,Statistician
BBA,Hospitality Management,8.87,React,0,Retail Store Manager
B.A,History,9.61,AWS,1,Content Writer
M.Sc,Forensic Science (M.Sc),8.0,Scrum Master,2,Data Engineer
B.Des,Communication Design,8.58,Java,0,Product Designer
B.Com,Business Analytics,9.74,React,2,Chartered Accountant
B.Tech,Computer Science Engineering,6.03,CPA,2,System Engineer
B.A,Journalism & Mass Communication,7.45,AutoCAD,1,Art Director
BBA,Business Analytics,7.55,Six Sigma,0,HR Generalist
B.Tech,Biotechnology,9.76,None,3,Robotics Engineer
M.Sc,Computer Science (M.Sc),7.81,Java,2,Clinical Psychologist
B.Tech,AI & Data Science,8.68,Scrum Master,1,Data Scientist
B.A,Performing Arts,7.92,None,3,Art Director
BBA,Digital Marketing,6.37,CPA,1,Sales Manager
B.Sc,Mathematics,6.91,AWS,1,Forensic Expert
B.A,Education,7.15,Python,0,Policy Analyst
MBA,Healthcare Management (Advanced),6.51,CPA,1,Agri-Business Manager
B.Sc,Statistics,6.71,Six Sigma,0,Forensic Expert
B.Tech,Food Technology,8.69,AWS,2,Biomedical Engineer
MBA,Agri-Business Management,9.22,Python,1,Supply Chain Manager
B.A,Journalism & Mass Communication,9.56,None,1,Journalist
B.A,English,8.51,Six Sigma,3,Psychologist
M.Tech,Data Science (Masters),8.12,AutoCAD,1,Senior Data Scientist
B.Tech,Mining Engineering,7.66,CPA,3,Process Engineer
B.Com,Economics,9.11,AutoCAD,2,Chartered Accountant
M.Sc,Microbiology (M.Sc),9.6,Python,0,Senior Researcher
B.Des,Animation & Multimedia,9.63,None,0,UI/UX Designer
M.Sc,Microbiology (M.Sc),7.48,React,3,Clinical Psychologist
B.Sc,Statistics,8.84,Python,3,Lab Technician
BBA,International Business,6.41,CPA,1,Sales Manager
B.A,History,6.65,AutoCAD,1,Social Worker
,IT Management,7.5,Python,2,HR Director
B.Des,Communication Design,6.9,Six Sigma,1,Interior Architect
B.Sc,Computer Science,8.58,None,2,Lab Technician
M.Sc,Statistics (M.Sc),7.16,CPA,1,Clinical Psychologist
B.Tech,Textile Engineering,6.2,Scrum Master,2,Food Safety Officer
M.Tech,Computer Science Engineering (Masters),7.48,Six Sigma,2,VLSI Architect
MBA,Finance (Advanced),9.55,Scrum Master,3,Investment Banker
B.A,Geography,6.1,AWS,2,Social Worker
BBA,Digital Marketing,9.64,Six Sigma,2,Business Analyst
BBA,Aviation Management,7.63,None,3,Aviation Operations Manager
B.Sc,Chemistry,7.33,AutoCAD,2,Data Analyst
M.Sc,Artificial Intelligence (M.Sc),7.79,AutoCAD,2,Clinical Psychologist
B.A,Journalism & Mass Communication,8.35,React,1,Public Relations Officer
M.Tech,Data Science (Masters),7.38,CPA,2,VLSI Architect
B.Tech,Biotechnology,7.84,Java,0,Automotive Design Engineer
B.Tech,Data Science,9.32,AutoCAD,1,AI Engineer
B.Des,Product Design,6.06,React,3,Interior Architect
M.Tech,Machine Learning,7.73,Python,2,VLSI Architect
B.Tech,AI & Data Science,8.3,Scrum Master,2,Data Scientist
M.Tech,Thermal Engineering,7.56,Java,2,VLSI Architect
M.Sc,Statistics (M.Sc),7.55,CPA,0,Clinical Psychologist
B.Com,Accounting & Finance,7.22,Python,2,Tax Consultant
B.Tech,Robotics & Automation,6.7,Scrum Master,2,Food Safety Officer
B.Tech,Metallurgical Engineering,8.84,React,0,Structural Engineer
B.Sc,Statistics,8.75,None,0,Lab Technician
M.Tech,Computer Science Engineering (Masters),6.8,Java,1,Robotics System Architect
B.Tech,Biomedical Engineering,7.9,CPA,0,Automotive Design Engineer
MBA,Marketing (Advanced),8.3,Six Sigma,0,Product Manager
M.Tech,Transportation Engineering,6.78,Java,3,Robotics System Architect
MBA,Finance (Advanced),8.87,None,3,Product Manager
B.A,English,9.03,Java,2,Content Writer
B.A,Geography,8.92,AutoCAD,2,Psychologist
M.Tech,Mechanical Design,9.13,None,1,R&D Engineer
,Instrumentation Engineering,7.98,CPA,0,Embedded Systems Engineer
B.Sc,Mathematics,8.53,Six Sigma,1,Lab Technician
B.Com,Financial Markets,6.72,AutoCAD,1,Bank Officer
MBA,Logistics & Supply Chain (Advanced),7.71,Java,3,Portfolio Manager
B.Tech,Electrical Engineering,6.55,React,1,Maintenance Engineer
BBA,Entrepreneurship,6.61,Six Sigma,0,Sales Manager
B.Tech,Instrumentation Engineering,8.66,CPA,0,Embedded Systems Engineer
MBA,Aviation Management (Advanced),9.49,Java,3,Supply Chain Manager
MBA,Operations Management (Advanced),8.27,Scrum Master,3,Product Manager
B.Sc,Forensic Science,7.75,Six Sigma,1,Data Analyst
B.Sc,Physics,6.14,CPA,3,Forensic Expert
B.Com,Business Analytics,9.0,React,1,Chartered Accountant
B.Sc,Psychology,8.54,CPA,0,Microbiologist
M.Sc,Microbiology (M.Sc),8.25,AWS,2,Data Engineer
B.Com,Auditing,8.78,Six Sigma,2,Financial Auditor
M.Tech,Robotics,8.68,None,0,Senior Data Scientist
B.Com,Economics,7.58,Scrum Master,3,Tax Consultant
B.Tech,Mechatronics Engineering,8.52,Six Sigma,0,Biomedical Engineer
B.Tech,Instrumentation Engineering,7.54,Six Sigma,3,Control Systems Engineer
MBA,Business Analytics (Advanced),6.42,CPA,1,Business Development Manager
B.A,Tamil,8.03,Scrum Master,3,Psychologist
,Biotechnology (Masters),8.09,PMP,2,Senior Data Scientist
B.Sc,Environmental Science,7.96,Six Sigma,1,Dietician
MBA,Banking & Financial Services,7.98,AutoCAD,0,Portfolio Manager
B.Com,International Business,9.52,React,1,Chartered Accountant
B.A,Journalism & Mass Communication,7.48,AWS,1,Art Director
,Cybersecurity,8.91,Scrum Master,1,AI Engineer
B.Tech,Metallurgical Engineering,6.22,CPA,2,Site Supervisor
B.Sc,Psychology,9.73,None,2,Clinical Research Associate
B.Des,Game Design,6.18,AWS,3,Interior Architect
MBA,Business Analytics (Advanced),8.44,Python,3,Product Manager
B.Des,Interior Design,6.64,AWS,0,Interior Architect
B.Sc,Physics,6.66,React,1,Forensic Expert
B.Des,Fashion Design,9.33,Java,3,UI/UX Designer
B.Tech,Mechatronics Engineering,7.23,AWS,2,Automotive Design Engineer
B.Tech,Cybersecurity,6.8,AutoCAD,3,System Engineer
B.Tech,Automobile Engineering,9.82,None,3,Robotics Engineer
B.Tech,Metallurgical Engineering,9.76,Python,2,Project Manager
B.Tech,Mechatronics Engineering,9.25,None,2,Robotics Engineer
M.Sc,Statistics (M.Sc),7.5,Java,1,Clinical Psychologist
B.Com,Business Analytics,8.74,AWS,0,Financial Auditor
B.Sc,Physics,8.57,Scrum Master,3,Lab Technician
B.Tech,AI & Machine Learning,9.69,Scrum Master,1,AI Engineer
BBA,Human Resource Management,7.36,AutoCAD,1,HR Generalist
M.Tech,Embedded Systems,9.83,Python,3,R&D Engineer
MBA,Hospitality & Tourism (Advanced),7.93,Python,2,Portfolio Manager
MBA,Operations Management (Advanced),7.97,None,3,HR Director
B.Sc,Electronics,6.18,None,1,Forensic Expert
B.Tech,Computer Science Engineering,6.96,React,0,System Engineer
B.Sc,Environmental Science,9.67,Python,1,Clinical Research Associate
M.Sc,Physics (M.Sc),8.81,React,2,Data Engineer
M.Tech,Manufacturing Engineering,7.95,None,0,VLSI Architect
M.Sc,Mathematics (M.Sc),7.07,AutoCAD,2,Clinical Psychologist
B.Com,Auditing,7.88,CPA,0,Tax Consultant
BBA,Retail Management,8.83,React,1,Retail Store Manager
B.Sc,Information Technology,8.59,AutoCAD,2,Lab Technician
B.Tech,Metallurgical Engineering,7.57,Python,1,Process Engineer
M.Tech,Embedded Systems,6.43,CPA,3,Robotics System Architect
B.Tech,Food Technology,9.24,AWS,1,Robotics Engineer
MBA,Finance (Advanced),6.43,AutoCAD,2,Business Development Manager
B.Com,Business Analytics,7.58,None,2,Tax Consultant
B.Tech,Biotechnology,7.66,CPA,3,Automotive Design Engineer
B.Des,Textile Design,8.94,AWS,0,Product Designer
,Food Science & Nutrition,9.23,Google Analytics,0,Senior Researcher
B.Tech,AI & Machine Learning,9.45,Scrum Master,1,AI Engineer
B.Sc,Microbiology,9.49,Java,3,Clinical Research Associate
B.Tech,Marine Engineering,7.21,None,3,Automotive Design Engineer
B.A,Philosophy,7.43,Java,0,Policy Analyst
B.Des,Interior Design,7.82,Java,3,Fashion Stylist
,Mining Engineering,6.8,Java,0,Process Engineer
MBA,Finance (Advanced),6.34,Python,0,Business Development Manager
B.Com,Computer Applications,7.77,AutoCAD,1,Tax Consultant
M.Sc,Agriculture (M.Sc),7.64,AWS,1,Clinical Psychologist
B.Sc,Agriculture,7.47,Python,1,Dietician
B.Com,Accounting & Finance,9.66,AutoCAD,0,Chartered Accountant
M.Sc,Environmental Science (M.Sc),7.17,AutoCAD,1,Clinical Psychologist
B.Des,Interior Design,9.46,CPA,2,UI/UX Designer
B.Tech,Aerospace Engineering,7.27,AWS,3,Automotive Design Engineer
BBA,International Business,7.56,Six Sigma,1,HR Generalist
MBA,IT Management,7.09,React,3,HR Director
M.Sc,Mathematics (M.Sc),8.03,Python,1,Data Engineer
,Sanskrit,7.84,Google Analytics,1,Psychologist
B.Tech,Electronics & Communication Engineering,7.56,React,0,Control Systems Engineer
B.Des,Fashion Design,7.1,AWS,2,Fashion Stylist
B.A,English,8.35,Six Sigma,3,Psychologist
B.Sc,Electronics,9.3,None,3,Software Developer
MBA,International Business (Advanced),9.06,Scrum Master,1,Investment Banker
BBA,Banking & Insurance,7.48,Java,3,Aviation Operations Manager
B.Sc,Computer Science,7.98,Java,2,Data Analyst
BBA,Marketing,6.86,CPA,1,Sales Manager
B.Com,Financial Markets,8.48,React,2,Financial Auditor
M.Tech,Mechanical Design,6.23,None,3,Robotics System Architect
B.Tech,Production Engineering,8.64,CPA,1,Structural Engineer
M.Sc,Environmental Science (M.Sc),7.63,Scrum Master,0,Clinical Psychologist
B.Tech,Robotics & Automation,8.68,Six Sigma,0,Biomedical Engineer
B.Tech,Aeronautical Engineering,7.67,Scrum Master,0,Automotive Design Engineer
BBA,Human Resource Management,6.08,AutoCAD,0,Sales Manager
M.Sc,Physics (M.Sc),9.85,None,3,Senior Researcher
B.A,Fine Arts,7.33,AutoCAD,1,Art Director
B.Sc,Microbiology,6.99,CPA,0,Registered Nurse
B.Tech,Biotechnology,8.29,AWS,3,Biomedical Engineer
B.Com,International Business,9.37,CPA,3,Chartered Accountant
B.Des,Textile Design,8.16,AWS,0,Product Designer
M.Sc,Microbiology (M.Sc),7.16,Scrum Master,1,Clinical Psychologist
M.Tech,Computer Science Engineering (Masters),9.8,CPA,3,R&D Engineer
B.Sc,Computer Science,6.61,Java,3,Forensic Expert
MBA,Agri-Business Management,6.22,None,3,Agri-Business Manager
B.Tech,Mining Engineering,8.16,Python,0,Structural Engineer
BBA,Travel & Tourism,6.35,None,3,Relationship Manager
B.Com,Financial Markets,8.16,Scrum Master,2,Financial Auditor
B.Tech,AI & Machine Learning,7.86,Python,2,Full Stack Developer
B.Des,Jewellery Design,9.6,React,2,UI/UX Designer
M.Tech,Biotechnology (Masters),6.39,Scrum Master,2,Robotics System Architect
B.Sc,Computer Science,8.93,Java,3,Lab Technician
B.Des,Communication Design,7.13,Six Sigma,2,Fashion Stylist
B.Com,Financial Markets,6.46,Python,2,Bank Officer
M.Sc,Artificial Intelligence (M.Sc),7.15,AWS,2,Clinical Psychologist
MBA,Finance (Advanced),7.03,Python,3,HR Director
M.Tech,VLSI,8.63,Scrum Master,2,Senior Data Scientist
B.Com,Auditing,6.83,Python,3,Bank Officer
MBA,Finance (Advanced),6.18,Six Sigma,0,Business Development Manager
B.Tech,Agriculture Engineering,8.31,Six Sigma,3,Biomedical Engineer
M.Tech,Power Systems,7.39,AWS,2,VLSI Architect
