Student_ID,Age,Gender,High_School_GPA,SAT_Score,University_GPA,Field_of_Study,Internships_Completed,Projects_Completed,Certifications,Soft_Skills_Score,Networking_Score,Job_Offers,Starting_Salary,Career_Satisfaction,Years_to_Promotion,Current_Job_Level,Work_Life_Balance,Entrepreneurship,Job_Role
21,24.0,0,3.6,1360.0,3.4,68,2,6.0,2,8.0,7.0,2.0,72000.0,7.0,3.0,1,7.0,0,32
22,23.0,1,3.4,1280.0,3.1,49,1,4.0,1,7.0,6.0,1.0,48000.0,6.0,5.0,0,8.0,0,32
23,21.0,0,3.9,1540.0,3.9,50,4,9.0,4,10.0,9.0,5.0,135000.0,10.0,1.0,2,5.0,0,32
24,25.0,1,3.7,1400.0,3.5,54,3,7.0,3,8.0,7.0,3.0,98000.0,8.0,2.0,1,6.0,0,32
25,22.0,0,3.5,1320.0,3.3,70,2,5.0,2,7.0,6.0,2.0,65000.0,7.0,4.0,1,7.0,0,32
26,24.0,1,3.3,1200.0,3.0,71,1,3.0,1,6.0,5.0,1.0,42000.0,6.0,5.0,0,8.0,0,32
27,23.0,0,3.8,1490.0,3.7,52,3,8.0,3,9.0,8.0,4.0,115000.0,9.0,2.0,1,6.0,0,32
28,21.0,1,3.6,1340.0,3.4,49,2,6.0,2,8.0,7.0,2.0,78000.0,7.0,3.0,1,6.0,0,32
29,25.0,0,3.9,1560.0,4.0,69,4,9.0,5,10.0,9.0,5.0,145000.0,10.0,1.0,2,5.0,0,32
30,22.0,1,3.4,1260.0,3.1,68,1,4.0,1,7.0,6.0,1.0,46000.0,6.0,5.0,0,7.0,0,32
31,24.0,0,3.7,1420.0,3.5,53,3,7.0,3,8.0,7.0,3.0,88000.0,8.0,2.0,1,7.0,0,32
32,23.0,1,3.5,1300.0,3.2,50,2,5.0,2,7.0,6.0,2.0,70000.0,7.0,4.0,1,6.0,0,32
33,21.0,0,3.8,1480.0,3.6,49,3,8.0,3,9.0,8.0,4.0,102000.0,9.0,2.0,1,6.0,0,32
34,25.0,1,3.6,1380.0,3.4,52,3,6.0,3,8.0,7.0,3.0,82000.0,8.0,3.0,1,6.0,0,32
35,22.0,0,3.2,1180.0,2.9,0,0,2.0,0,6.0,5.0,0.0,34000.0,5.0,5.0,0,7.0,0,32
36,24.0,1,3.9,1530.0,3.8,54,4,9.0,4,10.0,9.0,5.0,125000.0,10.0,1.0,2,5.0,0,32
37,23.0,0,3.7,1400.0,3.5,71,2,6.0,2,8.0,7.0,2.0,68000.0,7.0,3.0,1,7.0,0,32
38,21.0,1,3.5,1320.0,3.3,69,2,5.0,2,7.0,6.0,2.0,62000.0,7.0,4.0,1,6.0,0,32
39,25.0,0,3.8,1500.0,3.7,50,3,7.0,3,9.0,8.0,4.0,112000.0,9.0,2.0,1,6.0,0,32
40,22.0,1,3.6,1360.0,3.4,49,2,5.0,2,8.0,7.0,2.0,76000.0,7.0,3.0,1,6.0,0,32
41,24.0,0,3.4,1240.0,3.1,51,1,4.0,1,7.0,6.0,1.0,50000.0,6.0,5.0,0,8.0,0,32
42,23.0,1,3.2,1190.0,2.8,0,0,2.0,0,5.0,4.0,0.0,31000.0,5.0,5.0,0,7.0,0,32
43,21.0,0,3.9,1570.0,3.9,52,4,9.0,5,10.0,9.0,5.0,138000.0,10.0,1.0,2,5.0,0,32
44,25.0,1,3.7,1410.0,3.5,53,3,7.0,3,8.0,7.0,3.0,92000.0,8.0,2.0,1,6.0,0,32
45,22.0,0,3.5,1290.0,3.2,68,2,5.0,2,7.0,6.0,2.0,64000.0,7.0,4.0,1,7.0,0,32
46,24.0,1,3.3,1210.0,3.0,71,1,3.0,1,6.0,5.0,1.0,44000.0,6.0,5.0,0,8.0,0,32
47,23.0,0,3.8,1450.0,3.6,49,3,8.0,3,9.0,8.0,4.0,98000.0,9.0,2.0,1,6.0,0,32
48,21.0,1,3.6,1330.0,3.4,50,2,6.0,2,8.0,7.0,2.0,80000.0,7.0,3.0,1,6.0,0,32
49,25.0,0,3.9,1540.0,3.9,69,4,9.0,5,10.0,9.0,5.0,142000.0,10.0,1.0,2,5.0,0,32
50,22.0,1,3.5,1280.0,3.2,52,2,5.0,2,7.0,6.0,2.0,68000.0,7.0,4.0,1,6.0,0,32
51,24.0,0,3.7,1420.0,3.5,49,3,7.0,3,8.0,7.0,3.0,88000.0,8.0,2.0,1,7.0,0,32
52,23.0,1,3.4,1260.0,3.1,68,1,4.0,1,7.0,6.0,1.0,46000.0,6.0,5.0,0,7.0,0,32
53,21.0,0,3.9,1540.0,3.9,50,4,9.0,5,10.0,9.0,5.0,135000.0,10.0,1.0,2,5.0,0,32
54,25.0,1,3.6,1380.0,3.4,54,3,6.0,3,8.0,7.0,3.0,82000.0,8.0,3.0,1,6.0,0,32
55,22.0,0,3.2,1180.0,2.9,0,0,2.0,0,6.0,5.0,0.0,34000.0,5.0,5.0,0,7.0,0,32
56,24.0,1,3.8,1490.0,3.7,69,4,9.0,4,9.0,8.0,4.0,115000.0,9.0,2.0,1,6.0,0,32
57,23.0,0,3.6,1340.0,3.4,53,2,5.0,2,8.0,7.0,2.0,78000.0,7.0,3.0,1,6.0,0,32
58,21.0,1,3.7,1460.0,3.6,52,3,7.0,3,9.0,8.0,3.0,98000.0,8.0,2.0,1,6.0,0,32
59,25.0,0,3.5,1320.0,3.3,71,2,5.0,2,7.0,6.0,2.0,65000.0,7.0,4.0,1,7.0,0,32
60,22.0,1,3.3,1220.0,3.0,49,1,4.0,1,6.0,5.0,1.0,52000.0,6.0,5.0,0,8.0,0,32
61,24.0,0,3.9,1570.0,3.9,50,4,9.0,5,10.0,9.0,5.0,142000.0,10.0,1.0,2,5.0,0,32
62,23.0,1,3.6,1380.0,3.5,54,3,7.0,3,8.0,7.0,3.0,92000.0,8.0,2.0,1,6.0,0,32
63,21.0,0,3.4,1240.0,3.2,70,2,6.0,2,7.0,6.0,2.0,68000.0,7.0,4.0,1,7.0,0,32
64,25.0,1,3.2,1160.0,2.8,0,0,2.0,0,5.0,4.0,0.0,31000.0,5.0,5.0,0,7.0,0,32
65,22.0,0,3.8,1480.0,3.7,49,3,8.0,3,9.0,8.0,4.0,102000.0,9.0,2.0,1,6.0,0,32
66,24.0,1,3.5,1300.0,3.3,52,2,6.0,2,7.0,6.0,2.0,76000.0,7.0,3.0,1,6.0,0,32
67,23.0,0,3.7,1440.0,3.5,71,3,7.0,3,8.0,7.0,3.0,72000.0,8.0,3.0,1,7.0,0,32
68,21.0,1,3.9,1550.0,3.8,69,4,9.0,5,10.0,9.0,5.0,148000.0,10.0,1.0,2,5.0,0,32
69,25.0,0,3.6,1360.0,3.4,68,3,6.0,3,8.0,7.0,3.0,84000.0,8.0,3.0,1,6.0,0,32
70,22.0,1,3.4,1280.0,3.1,49,1,5.0,1,7.0,6.0,1.0,56000.0,6.0,5.0,0,8.0,0,32
71,24.0,0,3.8,1500.0,3.7,50,4,8.0,4,9.0,8.0,4.0,118000.0,9.0,2.0,1,6.0,0,32
72,23.0,1,3.5,1320.0,3.3,54,2,5.0,2,7.0,6.0,2.0,68000.0,7.0,4.0,1,7.0,0,32
73,21.0,0,3.7,1460.0,3.6,52,3,7.0,3,8.0,7.0,3.0,94000.0,8.0,2.0,1,6.0,0,32
74,25.0,1,3.9,1580.0,4.0,69,4,9.0,5,10.0,9.0,5.0,152000.0,10.0,1.0,2,5.0,0,32
75,22.0,0,3.6,1400.0,3.5,71,2,6.0,2,8.0,7.0,2.0,70000.0,7.0,3.0,1,7.0,0,32
76,24.0,1,3.3,1200.0,3.0,0,1,3.0,1,6.0,5.0,1.0,46000.0,6.0,5.0,0,8.0,0,32
77,23.0,0,3.8,1520.0,3.8,49,3,8.0,3,9.0,8.0,4.0,108000.0,9.0,2.0,1,6.0,0,32
78,21.0,1,3.5,1340.0,3.4,52,2,5.0,2,7.0,6.0,2.0,74000.0,7.0,3.0,1,6.0,0,32
79,25.0,0,3.7,1420.0,3.5,68,3,7.0,3,8.0,7.0,3.0,90000.0,8.0,2.0,1,6.0,0,32
80,22.0,1,3.4,1260.0,3.2,49,1,4.0,1,7.0,6.0,1.0,52000.0,6.0,5.0,0,7.0,0,32
81,24.0,0,3.9,1540.0,3.9,50,4,9.0,5,10.0,9.0,5.0,138000.0,10.0,1.0,2,5.0,0,32
82,23.0,1,3.6,1380.0,3.4,54,3,6.0,3,8.0,7.0,3.0,86000.0,8.0,3.0,1,6.0,0,32
83,21.0,0,3.5,1300.0,3.3,71,2,5.0,2,7.0,6.0,2.0,62000.0,7.0,4.0,1,7.0,0,32
84,25.0,1,3.8,1480.0,3.7,52,4,8.0,4,9.0,8.0,4.0,112000.0,9.0,2.0,1,6.0,0,32
85,22.0,0,3.6,1360.0,3.5,49,3,7.0,3,8.0,7.0,3.0,88000.0,8.0,2.0,1,7.0,0,32
86,24.0,1,3.4,1240.0,3.1,0,1,3.0,1,6.0,5.0,1.0,48000.0,6.0,5.0,0,8.0,0,32
87,23.0,0,3.7,1460.0,3.6,69,3,7.0,3,9.0,8.0,3.0,98000.0,9.0,2.0,1,6.0,0,32
88,21.0,1,3.9,1560.0,3.9,50,4,9.0,5,10.0,9.0,5.0,144000.0,10.0,1.0,2,5.0,0,32
89,25.0,0,3.5,1320.0,3.3,68,2,6.0,2,7.0,6.0,2.0,68000.0,7.0,4.0,1,7.0,0,32
90,22.0,1,3.3,1180.0,2.9,71,1,3.0,1,6.0,5.0,1.0,44000.0,6.0,5.0,0,8.0,0,32
91,24.0,0,3.8,1500.0,3.7,49,3,8.0,3,9.0,8.0,4.0,104000.0,9.0,2.0,1,6.0,0,32
92,23.0,1,3.6,1340.0,3.4,52,2,5.0,2,8.0,7.0,2.0,80000.0,7.0,3.0,1,6.0,0,32
93,21.0,0,3.7,1440.0,3.5,69,3,7.0,3,9.0,8.0,3.0,92000.0,8.0,2.0,1,6.0,0,32
94,25.0,1,3.9,1570.0,3.8,50,4,9.0,5,10.0,9.0,5.0,146000.0,10.0,1.0,2,5.0,0,32
95,22.0,0,3.5,1280.0,3.2,54,2,6.0,2,7.0,6.0,2.0,72000.0,7.0,4.0,1,7.0,0,32
96,24.0,1,3.4,1220.0,3.0,49,1,4.0,1,6.0,5.0,1.0,56000.0,6.0,5.0,0,8.0,0,32
97,23.0,0,3.8,1520.0,3.7,71,3,8.0,3,9.0,8.0,4.0,100000.0,9.0,2.0,1,6.0,0,32
98,21.0,1,3.6,1360.0,3.4,52,2,5.0,2,8.0,7.0,2.0,78000.0,7.0,3.0,1,6.0,0,32
99,25.0,0,3.7,1400.0,3.5,69,3,7.0,3,9.0,8.0,3.0,94000.0,8.0,2.0,1,6.0,0,32
100,22.0,1,3.5,1300.0,3.3,49,2,6.0,2,7.0,6.0,2.0,72000.0,7.0,4.0,1,6.0,0,32
101,24.0,0,3.7,1440.0,3.5,52,3,7.0,3,8.0,7.0,3.0,88000.0,8.0,2.0,1,7.0,0,32
102,23.0,1,3.4,1260.0,3.1,71,1,4.0,1,6.0,5.0,1.0,56000.0,6.0,5.0,0,8.0,0,32
103,21.0,0,3.9,1560.0,3.8,50,4,9.0,5,10.0,9.0,5.0,140000.0,10.0,1.0,2,5.0,0,32
104,25.0,1,3.6,1380.0,3.4,54,3,6.0,3,8.0,7.0,3.0,84000.0,8.0,3.0,1,6.0,0,32
105,22.0,0,3.2,1180.0,2.9,0,0,2.0,0,5.0,4.0,0.0,38000.0,5.0,5.0,0,7.0,0,32
106,24.0,1,3.8,1500.0,3.7,69,4,8.0,4,9.0,8.0,4.0,118000.0,9.0,2.0,1,6.0,0,32
107,23.0,0,3.6,1340.0,3.4,68,2,5.0,2,7.0,6.0,2.0,76000.0,7.0,3.0,1,6.0,0,32
108,21.0,1,3.7,1480.0,3.6,52,3,7.0,3,8.0,7.0,3.0,96000.0,8.0,2.0,1,6.0,0,32
109,25.0,0,3.5,1320.0,3.3,49,2,6.0,2,7.0,6.0,2.0,68000.0,7.0,4.0,1,7.0,0,32
110,22.0,1,3.3,1240.0,3.0,71,1,3.0,1,6.0,5.0,1.0,48000.0,6.0,5.0,0,8.0,0,32
111,24.0,0,3.9,1540.0,3.9,50,4,9.0,5,10.0,9.0,5.0,136000.0,10.0,1.0,2,5.0,0,32
112,23.0,1,3.6,1360.0,3.4,54,3,6.0,3,8.0,7.0,3.0,84000.0,8.0,3.0,1,6.0,0,32
113,21.0,0,3.5,1300.0,3.2,68,2,5.0,2,7.0,6.0,2.0,64000.0,7.0,4.0,1,7.0,0,32
114,25.0,1,3.8,1520.0,3.7,52,4,8.0,4,9.0,8.0,4.0,114000.0,9.0,2.0,1,6.0,0,32
115,22.0,0,3.6,1380.0,3.5,49,3,7.0,3,8.0,7.0,3.0,90000.0,8.0,2.0,1,7.0,0,32
116,24.0,1,3.4,1280.0,3.1,0,1,4.0,1,6.0,5.0,1.0,52000.0,6.0,5.0,0,8.0,0,32
117,23.0,0,3.7,1460.0,3.6,69,3,7.0,3,9.0,8.0,3.0,96000.0,9.0,2.0,1,6.0,0,32
118,21.0,1,3.9,1580.0,3.9,50,4,9.0,5,10.0,9.0,5.0,148000.0,10.0,1.0,2,5.0,0,32
119,25.0,0,3.6,1400.0,3.4,54,3,6.0,3,8.0,7.0,3.0,88000.0,8.0,3.0,1,6.0,0,32
120,22.0,1,3.4,1220.0,3.0,71,1,3.0,1,6.0,5.0,1.0,46000.0,6.0,5.0,0,7.0,0,32
121,24.0,0,3.8,1480.0,3.7,49,3,8.0,3,9.0,8.0,4.0,106000.0,9.0,2.0,1,6.0,0,32
122,23.0,1,3.5,1340.0,3.3,52,2,6.0,2,7.0,6.0,2.0,78000.0,7.0,3.0,1,6.0,0,32
123,21.0,0,3.7,1440.0,3.5,68,3,7.0,3,8.0,7.0,3.0,72000.0,8.0,3.0,1,7.0,0,32
124,25.0,1,3.9,1560.0,3.8,69,4,9.0,5,10.0,9.0,5.0,150000.0,10.0,1.0,2,5.0,0,32
125,22.0,0,3.5,1300.0,3.2,49,2,5.0,2,7.0,6.0,2.0,70000.0,7.0,4.0,1,7.0,0,32
126,24.0,1,3.3,1200.0,3.0,0,1,3.0,1,6.0,5.0,1.0,50000.0,6.0,5.0,0,8.0,0,32
127,23.0,0,3.8,1520.0,3.7,52,3,8.0,3,9.0,8.0,4.0,110000.0,9.0,2.0,1,6.0,0,32
128,21.0,1,3.6,1360.0,3.4,54,2,5.0,2,8.0,7.0,2.0,82000.0,7.0,3.0,1,6.0,0,32
129,25.0,0,3.7,1420.0,3.5,71,3,7.0,3,8.0,7.0,3.0,86000.0,8.0,2.0,1,7.0,0,32
130,22.0,1,3.4,1260.0,3.1,49,1,4.0,1,7.0,6.0,1.0,54000.0,6.0,5.0,0,8.0,0,32
131,24.0,0,3.9,1540.0,3.9,50,4,9.0,5,10.0,9.0,5.0,138000.0,10.0,1.0,2,5.0,0,32
132,23.0,1,3.6,1380.0,3.4,68,3,6.0,3,8.0,7.0,3.0,88000.0,8.0,3.0,1,6.0,0,32
133,21.0,0,3.5,1320.0,3.3,52,2,5.0,2,7.0,6.0,2.0,72000.0,7.0,4.0,1,7.0,0,32
134,25.0,1,3.8,1500.0,3.7,49,3,7.0,3,9.0,8.0,4.0,104000.0,9.0,2.0,1,6.0,0,32
135,22.0,0,3.6,1340.0,3.5,71,2,6.0,2,8.0,7.0,2.0,74000.0,7.0,3.0,1,7.0,0,32
136,24.0,1,3.4,1240.0,3.0,0,1,3.0,1,6.0,5.0,1.0,52000.0,6.0,5.0,0,8.0,0,32
137,23.0,0,3.7,1460.0,3.6,69,3,7.0,3,9.0,8.0,3.0,98000.0,9.0,2.0,1,6.0,0,32
138,21.0,1,3.9,1560.0,3.9,50,4,9.0,5,10.0,9.0,5.0,144000.0,10.0,1.0,2,5.0,0,32
139,25.0,0,3.5,1280.0,3.2,54,2,6.0,2,7.0,6.0,2.0,76000.0,7.0,4.0,1,7.0,0,32
140,22.0,1,3.3,1180.0,2.9,49,1,4.0,1,6.0,5.0,1.0,48000.0,6.0,5.0,0,8.0,0,32
141,24.0,0,3.8,1520.0,3.7,68,3,8.0,3,9.0,8.0,4.0,102000.0,9.0,2.0,1,6.0,0,32
142,23.0,1,3.6,1360.0,3.4,52,2,5.0,2,8.0,7.0,2.0,80000.0,7.0,3.0,1,6.0,0,32
143,21.0,0,3.7,1480.0,3.5,71,3,7.0,3,9.0,8.0,3.0,94000.0,8.0,2.0,1,6.0,0,32
144,25.0,1,3.9,1580.0,3.8,69,4,9.0,5,10.0,9.0,5.0,146000.0,10.0,1.0,2,5.0,0,32
145,22.0,0,3.5,1320.0,3.3,49,2,6.0,2,7.0,6.0,2.0,70000.0,7.0,4.0,1,7.0,0,32
146,24.0,1,3.4,1220.0,3.0,0,1,3.0,1,6.0,5.0,1.0,54000.0,6.0,5.0,0,8.0,0,32
147,23.0,0,3.8,1500.0,3.7,50,3,8.0,3,9.0,8.0,4.0,108000.0,9.0,2.0,1,6.0,0,32
148,21.0,1,3.6,1340.0,3.4,54,2,5.0,2,8.0,7.0,2.0,82000.0,7.0,3.0,1,6.0,0,32
149,25.0,0,3.7,1400.0,3.5,71,3,7.0,3,8.0,7.0,3.0,88000.0,8.0,2.0,1,7.0,0,32
150,22.0,1,3.5,1300.0,3.2,52,2,6.0,2,7.0,6.0,2.0,74000.0,7.0,4.0,1,6.0,0,32
151,24.0,0,3.9,1540.0,3.9,49,4,9.0,4,10.0,9.0,5.0,134000.0,10.0,1.0,2,5.0,0,32
152,23.0,1,3.6,1380.0,3.5,68,3,7.0,3,8.0,7.0,3.0,90000.0,8.0,3.0,1,6.0,0,32
153,21.0,0,3.4,1260.0,3.1,71,1,4.0,1,6.0,5.0,1.0,56000.0,6.0,5.0,0,8.0,0,32
154,25.0,1,3.8,1480.0,3.7,52,4,8.0,4,9.0,8.0,4.0,116000.0,9.0,2.0,1,6.0,0,32
155,22.0,0,3.7,1420.0,3.5,49,3,7.0,3,8.0,7.0,3.0,88000.0,8.0,2.0,1,7.0,0,32
156,24.0,1,3.5,1300.0,3.3,54,2,6.0,2,7.0,6.0,2.0,72000.0,7.0,4.0,1,6.0,0,32
157,23.0,0,3.9,1560.0,3.9,50,4,9.0,5,10.0,9.0,5.0,140000.0,10.0,1.0,2,5.0,0,32
158,21.0,1,3.6,1360.0,3.4,71,2,5.0,2,8.0,7.0,2.0,80000.0,7.0,3.0,1,6.0,0,32
159,25.0,0,3.7,1440.0,3.6,68,3,7.0,3,9.0,8.0,3.0,94000.0,9.0,2.0,1,6.0,0,32
160,22.0,1,3.4,1240.0,3.0,49,1,4.0,1,6.0,5.0,1.0,52000.0,6.0,5.0,0,8.0,0,32
161,24.0,0,3.8,1500.0,3.7,52,3,8.0,3,9.0,8.0,4.0,110000.0,9.0,2.0,1,6.0,0,32
162,23.0,1,3.5,1320.0,3.3,54,2,5.0,2,7.0,6.0,2.0,76000.0,7.0,3.0,1,6.0,0,32
163,21.0,0,3.7,1460.0,3.5,71,3,7.0,3,8.0,7.0,3.0,90000.0,8.0,2.0,1,7.0,0,32
164,25.0,1,3.9,1580.0,3.8,69,4,9.0,5,10.0,9.0,5.0,148000.0,10.0,1.0,2,5.0,0,32
165,22.0,0,3.6,1380.0,3.4,49,2,6.0,2,8.0,7.0,2.0,84000.0,8.0,3.0,1,7.0,0,32
166,24.0,1,3.3,1200.0,3.0,0,1,3.0,1,6.0,5.0,1.0,50000.0,6.0,5.0,0,8.0,0,32
167,23.0,0,3.8,1520.0,3.7,50,3,8.0,3,9.0,8.0,4.0,106000.0,9.0,2.0,1,6.0,0,32
168,21.0,1,3.6,1340.0,3.4,68,2,5.0,2,7.0,6.0,2.0,78000.0,7.0,3.0,1,6.0,0,32
169,25.0,0,3.7,1400.0,3.5,52,3,7.0,3,8.0,7.0,3.0,92000.0,8.0,2.0,1,6.0,0,32
170,22.0,1,3.5,1280.0,3.2,49,2,6.0,2,7.0,6.0,2.0,72000.0,7.0,4.0,1,6.0,0,32
171,24.0,0,3.7,1440.0,3.5,52,3,7.0,3,8.0,7.0,3.0,88000.0,8.0,2.0,1,7.0,0,32
172,23.0,1,3.4,1260.0,3.1,71,1,4.0,1,6.0,5.0,1.0,56000.0,6.0,5.0,0,8.0,0,32
173,21.0,0,3.9,1560.0,3.8,50,4,9.0,5,10.0,9.0,5.0,140000.0,10.0,1.0,2,5.0,0,32
174,25.0,1,3.6,1380.0,3.4,54,3,6.0,3,8.0,7.0,3.0,84000.0,8.0,3.0,1,6.0,0,32
175,22.0,0,3.2,1180.0,2.9,0,0,2.0,0,5.0,4.0,0.0,38000.0,5.0,5.0,0,7.0,0,32
176,24.0,1,3.8,1500.0,3.7,69,4,8.0,4,9.0,8.0,4.0,118000.0,9.0,2.0,1,6.0,0,32
177,23.0,0,3.6,1340.0,3.4,68,2,5.0,2,7.0,6.0,2.0,76000.0,7.0,3.0,1,6.0,0,32
178,21.0,1,3.7,1480.0,3.6,52,3,7.0,3,8.0,7.0,3.0,96000.0,8.0,2.0,1,6.0,0,32
179,25.0,0,3.5,1320.0,3.3,49,2,6.0,2,7.0,6.0,2.0,68000.0,7.0,4.0,1,7.0,0,32
180,22.0,1,3.3,1240.0,3.0,71,1,3.0,1,6.0,5.0,1.0,48000.0,6.0,5.0,0,8.0,0,32
181,24.0,0,3.9,1540.0,3.9,50,4,9.0,5,10.0,9.0,5.0,136000.0,10.0,1.0,2,5.0,0,32
182,23.0,1,3.6,1360.0,3.4,54,3,6.0,3,8.0,7.0,3.0,84000.0,8.0,3.0,1,6.0,0,32
183,21.0,0,3.5,1300.0,3.2,68,2,5.0,2,7.0,6.0,2.0,64000.0,7.0,4.0,1,7.0,0,32
184,25.0,1,3.8,1520.0,3.7,52,4,8.0,4,9.0,8.0,4.0,114000.0,9.0,2.0,1,6.0,0,32
185,22.0,0,3.6,1380.0,3.5,49,3,7.0,3,8.0,7.0,3.0,90000.0,8.0,2.0,1,7.0,0,32
186,24.0,1,3.4,1280.0,3.1,0,1,4.0,1,6.0,5.0,1.0,52000.0,6.0,5.0,0,8.0,0,32
187,23.0,0,3.7,1460.0,3.6,69,3,7.0,3,9.0,8.0,3.0,96000.0,9.0,2.0,1,6.0,0,32
188,21.0,1,3.9,1580.0,3.9,50,4,9.0,5,10.0,9.0,5.0,148000.0,10.0,1.0,2,5.0,0,32
189,25.0,0,3.6,1400.0,3.4,54,3,6.0,3,8.0,7.0,3.0,88000.0,8.0,3.0,1,6.0,0,32
190,22.0,1,3.4,1220.0,3.0,71,1,3.0,1,6.0,5.0,1.0,46000.0,6.0,5.0,0,7.0,0,32
191,24.0,0,3.8,1480.0,3.7,49,3,8.0,3,9.0,8.0,4.0,106000.0,9.0,2.0,1,6.0,0,32
192,23.0,1,3.5,1340.0,3.3,52,2,6.0,2,7.0,6.0,2.0,78000.0,7.0,3.0,1,6.0,0,32
193,21.0,0,3.7,1440.0,3.5,68,3,7.0,3,8.0,7.0,3.0,72000.0,8.0,3.0,1,7.0,0,32
194,25.0,1,3.9,1560.0,3.8,69,4,9.0,5,10.0,9.0,5.0,150000.0,10.0,1.0,2,5.0,0,32
195,22.0,0,3.5,1300.0,3.2,49,2,5.0,2,7.0,6.0,2.0,70000.0,7.0,4.0,1,7.0,0,32
196,24.0,1,3.3,1200.0,3.0,0,1,3.0,1,6.0,5.0,1.0,50000.0,6.0,5.0,0,8.0,0,32
197,23.0,0,3.8,1520.0,3.7,52,3,8.0,3,9.0,8.0,4.0,110000.0,9.0,2.0,1,6.0,0,32
198,21.0,1,3.6,1360.0,3.4,54,2,5.0,2,8.0,7.0,2.0,82000.0,7.0,3.0,1,6.0,0,32
199,25.0,0,3.7,1420.0,3.5,71,3,7.0,3,8.0,7.0,3.0,86000.0,8.0,2.0,1,7.0,0,32
200,22.0,1,3.4,1260.0,3.1,49,1,4.0,1,7.0,6.0,1.0,54000.0,6.0,5.0,0,8.0,0,32
201,24.0,0,3.9,1540.0,3.9,50,4,9.0,5,10.0,9.0,5.0,138000.0,10.0,1.0,2,5.0,0,32
202,23.0,1,3.6,1380.0,3.4,68,3,6.0,3,8.0,7.0,3.0,88000.0,8.0,3.0,1,6.0,0,32
203,21.0,0,3.5,1320.0,3.3,52,2,5.0,2,7.0,6.0,2.0,72000.0,7.0,4.0,1,7.0,0,32
204,25.0,1,3.8,1500.0,3.7,49,3,7.0,3,9.0,8.0,4.0,104000.0,9.0,2.0,1,6.0,0,32
205,22.0,0,3.6,1340.0,3.5,71,2,6.0,2,8.0,7.0,2.0,74000.0,7.0,3.0,1,7.0,0,32
206,24.0,1,3.4,1240.0,3.0,0,1,3.0,1,6.0,5.0,1.0,52000.0,6.0,5.0,0,8.0,0,32
